turbine,policy,issue_date,issue_time_utc,issue_time_local,time_utc,time_local,horizon_day,lead_hours,nwp_lead_hours,forecast,p10,p50,p90,wind_speed_100m,ws100_ens_std,temperature_2m,power
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-01 18:00:00,2025-10-02 00:00:00,1,24.0,48.0,0.7249333810170474,0.2739661552166053,0.7561404045377386,0.9854681953309081,9.675925925925927,1.1146932996404775,6.5,0.4749999999999999
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-01 19:00:00,2025-10-02 01:00:00,1,25.0,48.0,0.690413357942291,0.188851961022662,0.7023165424256647,0.9800352296841317,9.296296296296296,1.3426564480344778,6.7,0.54
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-01 20:00:00,2025-10-02 02:00:00,1,26.0,48.0,0.6528453515120607,0.1543437252490158,0.6443834519903691,0.9519394975338392,9.074074074074074,0.9845775764840599,6.833333333333333,0.37833333333333335
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-01 21:00:00,2025-10-02 03:00:00,1,27.0,48.0,0.5494902517453495,0.0938178200147855,0.5136169773306747,0.9130622902209167,8.416666666666668,1.1065880159467834,6.866666666666667,0.10833333333333334
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-01 22:00:00,2025-10-02 04:00:00,1,28.0,48.0,0.4780413299861419,0.05222380876337096,0.42435046665639353,0.8906855889961975,7.805555555555557,0.8673608331108884,6.866666666666667,0.051666666666666666
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-01 23:00:00,2025-10-02 05:00:00,1,29.0,48.0,0.4170421675191736,0.035072466249019774,0.3376223569207282,0.8446984633702794,7.0092592592592595,0.8213646679127814,6.900000000000001,0.01
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-02 00:00:00,2025-10-02 06:00:00,1,30.0,48.0,0.2901747936275841,0.03050671198964769,0.21257584944075197,0.7315606193640081,6.7407407407407405,0.4567171279680937,6.633333333333333,0.01
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-02 01:00:00,2025-10-02 07:00:00,1,31.0,48.0,0.18221118646388315,0.01894610220971199,0.1590110473169871,0.49868304983918965,5.666666666666667,0.30555555555555536,6.833333333333333,0.07333333333333333
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-02 02:00:00,2025-10-02 08:00:00,1,32.0,48.0,0.10789850200248462,0.016821995796599203,0.07205962414742585,0.3023789646501419,4.287037037037037,0.7537628514420114,7.3,0.145
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-02 03:00:00,2025-10-02 09:00:00,1,33.0,48.0,0.0830649093351212,0.019060541627757006,0.03317479757371559,0.24036994272689446,2.555555555555556,0.6672451194146842,7.933333333333334,0.17166666666666666
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-02 04:00:00,2025-10-02 10:00:00,1,34.0,48.0,0.08130742814359446,0.019665206589703145,0.03039846411276588,0.2291295424503036,0.8240740740740741,0.7224002629551678,8.833333333333334,0.17166666666666666
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-02 05:00:00,2025-10-02 11:00:00,1,35.0,48.0,0.09471037212188933,0.019385608495492816,0.032918709675626524,0.2615840083185447,0.8240740740740741,0.4095063775462219,10.0,0.19999999999999998
t1,strict,2025-10-01,2025-09-30 18:00:00,2025-10-01,2025-10-02 06:00:00,2025-10-02 12:00:00,1,36.0,48.0,0.0927227123656343,0.01957867081308936,0.0336998511718746,0.2568690809682602,1.6851851851851851,0.1627629243633975,11.1,0.26333333333333336
