turbine,issue_time_utc,time_utc,time_local,lead_hours,forecast,p10,p50,p90,wind_speed_100m,ws100_ens_std,temperature_2m
t1,2026-02-10,2026-02-11 00:00:00,2026-02-11 06:00:00,24.0,0.3553503602435032,0.05262620132972649,0.19862903788165848,0.7634537457433561,9.166666666666666,0.5471587667664509,1.9666666666666668
t1,2026-02-10,2026-02-11 01:00:00,2026-02-11 07:00:00,25.0,0.21813856624258493,0.010625485216546847,0.08392304835331377,0.5934015262220315,4.962962962962963,2.798855218652695,0.8666666666666667
t1,2026-02-10,2026-02-11 02:00:00,2026-02-11 08:00:00,26.0,0.168788263661743,0.012127731101991559,0.09018141882420806,0.40891774524562924,4.194444444444445,2.3896962460003466,0.7999999999999999
t1,2026-02-10,2026-02-11 03:00:00,2026-02-11 09:00:00,27.0,0.22338195497058236,0.014906441680483185,0.17248557190652342,0.5777335132290445,4.7592592592592595,3.9162069601506646,1.5666666666666667
t1,2026-02-10,2026-02-11 04:00:00,2026-02-11 10:00:00,28.0,0.2549592723560033,0.02029930184344641,0.1629897990367369,0.6593893099186313,4.8240740740740735,3.4552176207272907,3.5999999999999996
t1,2026-02-10,2026-02-11 05:00:00,2026-02-11 11:00:00,29.0,0.3587409561247771,0.036280691349494916,0.25992394197439755,0.9057122054188852,6.527777777777778,3.4695545307683684,6.066666666666666
t1,2026-02-10,2026-02-11 06:00:00,2026-02-11 12:00:00,30.0,0.49493335383134,0.05876247381072548,0.4448467285132733,0.9917530457078627,8.481481481481481,4.934551067592992,7.966666666666666
t1,2026-02-10,2026-02-11 07:00:00,2026-02-11 13:00:00,31.0,0.42853157685694265,0.03359423107970824,0.3972452436359014,0.9120292142166174,9.25,7.523266380837319,9.066666666666668
t1,2026-02-10,2026-02-11 08:00:00,2026-02-11 14:00:00,32.0,0.38519711813687413,0.022813763080688568,0.2909491019975089,0.8744627040782572,7.666666666666667,7.773609994441386,9.9
t1,2026-02-10,2026-02-11 09:00:00,2026-02-11 15:00:00,33.0,0.3777342354339299,0.02127115771529794,0.28833526262432435,0.8797279218968143,5.842592592592593,5.953545300582715,9.566666666666666
t1,2026-02-10,2026-02-11 10:00:00,2026-02-11 16:00:00,34.0,0.6168194854618085,0.07540893330340505,0.5295777358282538,0.9667090628902448,7.046296296296298,2.331072537900684,8.833333333333334
t1,2026-02-10,2026-02-11 11:00:00,2026-02-11 17:00:00,35.0,0.6972451368397862,0.24888315620785623,0.7125371624577396,0.9887132775934885,8.694444444444445,4.462117639323339,6.333333333333333
t1,2026-02-10,2026-02-11 12:00:00,2026-02-11 18:00:00,36.0,0.8647212254435486,0.44220936971906083,0.889768466494765,0.9955164722513417,10.972222222222223,5.087430043199066,4.5
t1,2026-02-10,2026-02-11 13:00:00,2026-02-11 19:00:00,37.0,0.883633423737798,0.5654571321949671,0.934563890168287,0.9889805936220015,13.453703703703704,3.7930993765861762,3.2999999999999994
t1,2026-02-10,2026-02-11 14:00:00,2026-02-11 20:00:00,38.0,0.9043917639229223,0.66075673775773,0.9524058549693514,0.9889739948881466,14.509259259259261,2.463049984538974,2.5666666666666664
t1,2026-02-10,2026-02-11 15:00:00,2026-02-11 21:00:00,39.0,0.8307343393418453,0.5736526843402747,0.9086111798696427,0.9883795358437338,14.129629629629628,2.0196437570397903,1.9666666666666668
t1,2026-02-10,2026-02-11 16:00:00,2026-02-11 22:00:00,40.0,0.7703536564004867,0.4137394856451849,0.8418857638651508,0.9906840148548012,12.444444444444445,1.7801633300013462,1.6333333333333335
t1,2026-02-10,2026-02-11 17:00:00,2026-02-11 23:00:00,41.0,0.7184392978200427,0.34245656081294346,0.7644104075643868,0.9911237178737572,10.870370370370372,1.5677432602442125,1.5999999999999999
t1,2026-02-10,2026-02-11 18:00:00,2026-02-12 00:00:00,42.0,0.6373495101505767,0.15750363409516557,0.6087325662705119,0.9777103295327516,8.527777777777779,1.4690742024641499,1.1
t1,2026-02-10,2026-02-11 19:00:00,2026-02-12 01:00:00,43.0,0.655874333882071,0.17889861262151094,0.6209904111456116,0.9919629862705739,8.685185185185185,1.881179802294207,1.1333333333333333
t1,2026-02-10,2026-02-11 20:00:00,2026-02-12 02:00:00,44.0,0.6032846397583252,0.17729866299152283,0.5699777328228391,0.9844348498233576,9.564814814814815,2.6254531256958935,1.0999999999999999
t1,2026-02-10,2026-02-11 21:00:00,2026-02-12 03:00:00,45.0,0.5553542630716485,0.10544510022718466,0.4721580703224555,0.9596717280769188,9.120370370370372,2.4200699748411356,0.9666666666666667
t1,2026-02-10,2026-02-11 22:00:00,2026-02-12 04:00:00,46.0,0.48929784336976695,0.08055373829322504,0.42845111835090005,0.9031179297594895,8.342592592592593,1.6235946756447235,0.9333333333333332
