turbine,policy,issue_date,issue_time_utc,issue_time_local,time_utc,time_local,horizon_day,lead_hours,nwp_lead_hours,forecast,p10,p50,p90,wind_speed_100m,ws100_ens_std,temperature_2m,power
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-01-31 18:00:00,2026-02-01 00:00:00,1,24.0,48.0,0.05534195634640461,0.0,0.008188664012790177,0.21772513841665947,3.425925925925926,2.8610212139778475,-2.1333333333333333,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-01-31 19:00:00,2026-02-01 01:00:00,1,25.0,48.0,0.05974763449320114,0.0,0.006166529407076203,0.22242801328766185,3.657407407407407,2.9473692671105565,-2.3000000000000003,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-01-31 20:00:00,2026-02-01 02:00:00,1,26.0,48.0,0.05148884609697468,0.0,0.0018232644597370139,0.19763285172152156,4.138888888888889,3.3935532563529494,-2.4,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-01-31 21:00:00,2026-02-01 03:00:00,1,27.0,48.0,0.045067789528058996,0.0,0.0,0.2080183082222049,4.518518518518519,4.17206440496512,-2.566666666666667,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-01-31 22:00:00,2026-02-01 04:00:00,1,28.0,48.0,0.05175454853695692,0.0,0.001698395871347052,0.23787498490090428,3.925925925925926,5.28525299081839,-2.8666666666666667,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-01-31 23:00:00,2026-02-01 05:00:00,1,29.0,48.0,0.05668702044021158,0.0,0.0013680125758524474,0.2558324958767598,3.8055555555555554,5.702162790891467,-3.3333333333333335,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-02-01 00:00:00,2026-02-01 06:00:00,1,30.0,48.0,0.06744375396180151,0.0,0.0021468397811578444,0.25518001849470096,3.8425925925925934,5.501496242418948,-2.733333333333333,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-02-01 01:00:00,2026-02-01 07:00:00,1,31.0,48.0,0.09736263597891995,0.0,0.023832267214866566,0.3179164500345375,4.037037037037037,5.573051155063512,-2.6999999999999997,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-02-01 02:00:00,2026-02-01 08:00:00,1,32.0,48.0,0.16658911328535206,0.0,0.0933515150404,0.5584734896316811,4.814814814814816,5.227858463580125,-2.6666666666666665,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-02-01 03:00:00,2026-02-01 09:00:00,1,33.0,48.0,0.16906416760829543,0.0,0.12521787921840405,0.5824716298493524,6.416666666666667,4.211517863674494,-2.3333333333333335,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-02-01 04:00:00,2026-02-01 10:00:00,1,34.0,48.0,0.2638499001307255,0.0,0.23464342826327755,0.6390390923113469,6.888888888888889,3.2175492936068792,-0.7333333333333333,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-02-01 05:00:00,2026-02-01 11:00:00,1,35.0,48.0,0.3891647859589949,0.016928186385840704,0.3660024337238257,0.8304500717769197,7.6944444444444455,2.9111058100036553,1.5,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-02-01 06:00:00,2026-02-01 12:00:00,1,36.0,48.0,0.43341909940638607,0.02006179078023823,0.40411825119636646,0.8273836781310334,7.962962962962963,3.7033448900265276,3.3666666666666667,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-02-01 07:00:00,2026-02-01 13:00:00,1,37.0,48.0,0.4628585011593901,0.027226832071086837,0.4483812464006821,0.8266428730262446,8.074074074074074,3.4973902674891133,4.433333333333334,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-02-01 08:00:00,2026-02-01 14:00:00,1,38.0,48.0,0.49178580000569444,0.041885524093334625,0.48986114676561016,0.8197958928836717,7.935185185185186,3.1652449700085787,5.3,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-02-01 09:00:00,2026-02-01 15:00:00,1,39.0,48.0,0.5125342435280302,0.03170555059682023,0.5077364840864591,0.8089097457205172,7.944444444444444,2.9585615457098546,5.666666666666667,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-02-01 10:00:00,2026-02-01 16:00:00,1,40.0,48.0,0.505140107482883,0.02526802227280206,0.4906596913288401,0.8087505446161232,7.898148148148149,2.7916781831345285,5.233333333333333,
t1,strict,2026-01-31,2026-01-30 18:00:00,2026-01-31,2026-02-01 11:00:00,2026-02-01 17:00:00,1,41.0,48.0,0.470672374716267,0.041582665618410286,0.42607306531106004,0.7888020299876939,8.129629629629632,2.7157424770486047,3.866666666666667,
