turbine,issue_time_utc,time_utc,time_local,lead_hours,forecast,p10,p50,p90,wind_speed_100m,ws100_ens_std,temperature_2m,power
t1,2025-10-01,2025-10-02 00:00:00,2025-10-02 06:00:00,24.0,0.1409086052449482,0.012427757218287372,0.116751222671395,0.4703913956075132,5.472222222222222,0.16666666666666652,6.7,0.01
t1,2025-10-01,2025-10-02 01:00:00,2025-10-02 07:00:00,25.0,0.11049685951456496,0.02366473296921808,0.051247112329411794,0.3956384711008736,4.305555555555556,0.7777777777777781,6.833333333333333,0.07333333333333333
t1,2025-10-01,2025-10-02 02:00:00,2025-10-02 08:00:00,26.0,0.09844600468778,0.026803674902719676,0.035009054469904516,0.3391378228430284,2.9444444444444446,0.8457409637576849,7.233333333333333,0.145
t1,2025-10-01,2025-10-02 03:00:00,2025-10-02 09:00:00,27.0,0.10042176625083801,0.027181066616455415,0.032800139340614945,0.3179548324763693,1.7962962962962965,0.8316340699715521,7.8,0.17166666666666666
t1,2025-10-01,2025-10-02 04:00:00,2025-10-02 10:00:00,28.0,0.09843277670487548,0.026534555055825464,0.03539447951828903,0.31329270725096436,0.8425925925925926,0.8838107258779759,8.7,0.17166666666666666
t1,2025-10-01,2025-10-02 05:00:00,2025-10-02 11:00:00,29.0,0.0991633752944338,0.02666930615801606,0.035170920553585464,0.31846362905229825,1.1851851851851851,0.6862479245810289,9.700000000000001,0.19999999999999998
t1,2025-10-01,2025-10-02 06:00:00,2025-10-02 12:00:00,30.0,0.1135023038072392,0.023949090556664266,0.049112367838622044,0.36522074483651656,2.7314814814814823,0.40285759107050184,10.966666666666669,0.26333333333333336
t1,2025-10-01,2025-10-02 07:00:00,2025-10-02 13:00:00,31.0,0.13024629233596258,0.024939429818279294,0.048128931399660256,0.36778501991171764,2.814814814814815,0.5842145020128653,12.233333333333334,0.43
t1,2025-10-01,2025-10-02 08:00:00,2025-10-02 14:00:00,32.0,0.11121883710162088,0.02581284921010331,0.04049609619036354,0.3501403050049644,2.5,0.5299662230094143,13.200000000000001,0.62
t1,2025-10-01,2025-10-02 09:00:00,2025-10-02 15:00:00,33.0,0.10689461004419722,0.02606767471052019,0.03948870112126874,0.3489301151935057,2.0648148148148144,1.0154414799371527,13.833333333333334,0.8033333333333333
t1,2025-10-01,2025-10-02 10:00:00,2025-10-02 16:00:00,34.0,0.10789297524766513,0.025554846879725455,0.04330210511286307,0.3849242387420806,2.064814814814815,1.5792670331960703,13.9,0.8983333333333333
t1,2025-10-01,2025-10-02 11:00:00,2025-10-02 17:00:00,35.0,0.14294259564950149,0.01932216952982803,0.08572505281219012,0.4223901611607566,2.305555555555556,2.155061512685146,13.633333333333333,0.965
t1,2025-10-01,2025-10-02 12:00:00,2025-10-02 18:00:00,36.0,0.19708683109178565,0.012464848995130201,0.1392543072230329,0.49495471428950755,4.12962962962963,1.4219219879858724,12.799999999999999,0.9766666666666666
t1,2025-10-01,2025-10-02 13:00:00,2025-10-02 19:00:00,37.0,0.26679241280980026,0.0043027516222320095,0.21335469398607132,0.5529966113010489,5.12962962962963,1.3200534656836345,11.799999999999999,0.79
t1,2025-10-01,2025-10-02 14:00:00,2025-10-02 20:00:00,38.0,0.31841876431015864,0.011345848207872045,0.2315400776147042,0.7516222408536559,5.981481481481481,1.1400175076267347,11.033333333333333,0.6699999999999999
t1,2025-10-01,2025-10-02 15:00:00,2025-10-02 21:00:00,39.0,0.3324448462723335,0.03848755054565839,0.27228219362767364,0.7996432853994073,6.453703703703703,0.9478424709804046,10.333333333333332,0.6216666666666667
t1,2025-10-01,2025-10-02 16:00:00,2025-10-02 22:00:00,40.0,0.3933663970301851,0.040555875058359836,0.2773743946746078,0.8300240138873577,6.648148148148148,0.8194836776546476,9.733333333333334,0.5966666666666667
t1,2025-10-01,2025-10-02 17:00:00,2025-10-02 23:00:00,41.0,0.37888667737054715,0.033906155652284636,0.2791585405652073,0.8648170358539243,7.222222222222224,1.5988518256842401,9.166666666666666,0.4083333333333334
t1,2025-10-01,2025-10-02 18:00:00,2025-10-03 00:00:00,42.0,0.309323038087177,0.008821591663491807,0.2145532241939795,0.8748457030915501,8.175925925925926,2.404396265006447,8.666666666666666,0.15
t1,2025-10-01,2025-10-02 19:00:00,2025-10-03 01:00:00,43.0,0.29469545108021905,0.01666187648015993,0.18073122071873834,0.8037740164141283,7.787037037037037,2.291007200287583,8.1,0.22999999999999998
t1,2025-10-01,2025-10-02 20:00:00,2025-10-03 02:00:00,44.0,0.2838833309837038,0.01584655971369303,0.16377409362082673,0.732291510659167,7.240740740740741,2.1317219994942045,7.666666666666667,0.4183333333333333
