turbine,policy,issue_date,issue_time_utc,issue_time_local,time_utc,time_local,horizon_day,lead_hours,nwp_lead_hours,forecast,p10,p50,p90,wind_speed_100m,ws100_ens_std,temperature_2m,power
t1,rolling,2025-10-01,2025-10-01 18:00:00,2025-10-02,2025-10-01 18:00:00,2025-10-02 00:00:00,1,0.0,24.0,0.6793986725310074,0.20864322684550457,0.6784128772070102,1.0,9.648148148148147,1.0520164842470723,6.2,0.4749999999999999
t1,rolling,2025-10-01,2025-10-01 18:00:00,2025-10-02,2025-10-01 19:00:00,2025-10-02 01:00:00,1,1.0,24.0,0.6684863506895662,0.1197155330501074,0.678536274960477,1.0,8.962962962962964,0.9818308253193752,6.466666666666666,0.54
t1,rolling,2025-10-01,2025-10-01 18:00:00,2025-10-02,2025-10-01 20:00:00,2025-10-02 02:00:00,1,2.0,24.0,0.6236285141122815,0.05938166207200879,0.5930985587285449,1.0,8.5,0.8557178778194091,6.633333333333333,0.37833333333333335
t1,rolling,2025-10-01,2025-10-01 18:00:00,2025-10-02,2025-10-01 21:00:00,2025-10-02 03:00:00,1,3.0,24.0,0.5166554099448287,0.06146092418298954,0.47021993134332174,0.9599725405510909,7.898148148148148,0.7245333392403562,6.733333333333334,0.10833333333333334
t1,rolling,2025-10-01,2025-10-01 18:00:00,2025-10-02,2025-10-01 22:00:00,2025-10-02 04:00:00,1,4.0,24.0,0.40724492037738447,0.016278855934788505,0.3674465120272997,0.853794455347745,6.907407407407407,0.8269819689417253,6.733333333333334,0.051666666666666666
t1,rolling,2025-10-01,2025-10-01 18:00:00,2025-10-02,2025-10-01 23:00:00,2025-10-02 05:00:00,1,5.0,24.0,0.26551802333086066,0.02148487061751761,0.2099608128682004,0.7503099345683701,6.092592592592593,0.6610488610593165,6.633333333333333,0.01
t1,rolling,2025-10-01,2025-10-01 18:00:00,2025-10-02,2025-10-02 00:00:00,2025-10-02 06:00:00,1,6.0,24.0,0.21014964387089916,0.012634138347733526,0.17349339019611637,0.5457978464523554,5.472222222222222,0.16666666666666652,6.7,0.01
t1,rolling,2025-10-01,2025-10-01 18:00:00,2025-10-02,2025-10-02 01:00:00,2025-10-02 07:00:00,1,7.0,24.0,0.12516943120284624,0.022618107954047423,0.08157952137916047,0.3342010214647819,4.305555555555556,0.7777777777777781,6.833333333333333,0.07333333333333333
t1,rolling,2025-10-01,2025-10-01 18:00:00,2025-10-02,2025-10-02 02:00:00,2025-10-02 08:00:00,1,8.0,24.0,0.09911476981275695,0.02825719321262121,0.044253388916177194,0.2693998489932764,2.9444444444444446,0.8457409637576849,7.233333333333333,0.145
t1,rolling,2025-10-01,2025-10-01 18:00:00,2025-10-02,2025-10-02 03:00:00,2025-10-02 09:00:00,1,9.0,24.0,0.09663973709070388,0.028600382464181895,0.04158292024290439,0.2622591746511663,1.7962962962962965,0.8316340699715521,7.8,0.17166666666666666
