feature,importance_training_only,selected_candidate,reason
turbine_id,0.006027760810821771,True,Ranked safe candidate
lead_hours,0.0003591406419123324,True,Ranked safe candidate
ensemble_wind_speed_100m,0.4352192292339211,True,Ranked safe candidate
wind_speed_100m_mean,0.09294060718564717,False,Strongly correlated training-only proxy for ensemble_wind_speed_100m
ecmwf_wind_speed_10m,0.06881154579771559,True,Ranked safe candidate
wind_speed_10m_mean,0.04754978680495,True,Ranked safe candidate
ecmwf_surface_pressure,0.013232558067762641,True,Ranked safe candidate
ensemble_wind_speed_10m,0.012721366901282205,False,Strongly correlated training-only proxy for wind_speed_10m_mean
day_of_year_cos,0.010838496976326942,True,Ranked safe candidate
day_of_year_sin,0.01066101357345559,True,Ranked safe candidate
ecmwf_wind_speed_100m,0.009346506597189918,True,Ranked safe candidate
gfs_wind_direction_100m_sin,0.008903576314571855,True,Ranked safe candidate
target_day_of_year,0.008777567881649751,False,Redundant horizon or raw calendar; use lead and cyclic time
icon_wind_gusts_10m,0.008111302733023367,True,Ranked safe candidate
gfs_wind_direction_10m_cos,0.00786216683845423,True,Ranked safe candidate
hour_sin,0.007050958396791587,True,Ranked safe candidate
icon_wind_speed_100m,0.0064002449130482406,True,Ranked safe candidate
gfs_wind_direction_10m,0.006225159616402682,False,Raw angle replaced by sine/cosine
gfs_relative_humidity_2m,0.0058712177306858215,True,Ranked safe candidate
icon_surface_pressure,0.005456013422399913,False,Strongly correlated training-only proxy for ecmwf_surface_pressure
gfs_surface_pressure,0.004944798632745579,False,Strongly correlated training-only proxy for ecmwf_surface_pressure
gfs_wind_speed_10m,0.004663136359756391,True,Ranked safe candidate
target_day_of_week,0.00465918360062599,False,Redundant horizon or raw calendar; use lead and cyclic time
ecmwf_relative_humidity_2m,0.00459433252280944,True,Ranked safe candidate
target_hour,0.004336630267298371,False,Redundant horizon or raw calendar; use lead and cyclic time
ecmwf_temperature_2m,0.004179848649394947,True,Ranked safe candidate
ensemble_wind_direction_100m_circular_dispersion,0.003981414044529545,True,Ranked safe candidate
hour_cos,0.003880731932118659,True,Ranked safe candidate
icon_wind_bias_90d,0.00384606511927087,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_direction_100m,0.0034273924896404194,False,Raw angle replaced by sine/cosine
ensemble_relative_humidity_2m,0.0033915540257513413,True,Ranked safe candidate
ensemble_wind_gusts_10m,0.0033663489260771238,True,Ranked safe candidate
gfs_wind_direction_10m_sin,0.0033296331447474764,True,Ranked safe candidate
surface_pressure_mean,0.0033136337541641186,False,Strongly correlated training-only proxy for ecmwf_surface_pressure
gfs_wind_bias_7d,0.0032848254772688272,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_temperature_2m,0.003227309947360562,False,Strongly correlated training-only proxy for ecmwf_temperature_2m
icon_temperature_2m,0.0031865567221589894,False,Strongly correlated training-only proxy for ecmwf_temperature_2m
ecmwf_wind_bias_7d,0.0030789684524485683,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_wind_direction_10m,0.003037620866906739,False,Raw angle replaced by sine/cosine
ecmwf_temperature_bias_7d,0.0030358163765553067,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_temperature_bias_7d,0.0030355464497032816,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_direction_100m_sin,0.0029450797418720275,True,Ranked safe candidate
gfs_temperature_mae_30d,0.002942051670840429,False,Redundant rolling metric; retain only provider wind MAE 30d
wind_speed_models_std,0.0029418195539167072,True,Ranked safe candidate
wind_speed_models_range,0.0029129006826319427,False,Strongly correlated training-only proxy for wind_speed_models_std
wind_direction_10m_mean,0.0027655873412139867,False,Raw angle replaced by sine/cosine
gfs_temperature_rmse_7d,0.002725260322039098,False,Redundant rolling metric; retain only provider wind MAE 30d
ensemble_wind_direction_10m,0.0026933288947830814,False,Raw angle replaced by sine/cosine
