model,set_label,requested_feature_count,feature_count,validation_MAE,validation_RMSE,D1_MAE,D2_MAE
CatBoost,Top10,10,10,0.15556029284040632,0.23515741151895928,0.14705176961173033,0.16406881606908227
CatBoost,Top15,15,15,0.15161593010870172,0.22904077620243735,0.14358096389070052,0.15965089632670296
CatBoost,Top20,20,20,0.15316816343107414,0.23077522835752623,0.1448300012805525,0.16150632558159578
CatBoost,CORE,21,21,0.15707653490741327,0.23630559889470132,0.14851795087416428,0.1656351189406623
CatBoost,SELECTED / Top30,30,30,0.15460525023122126,0.23244101988397883,0.14603774389614171,0.16317275656630081
CatBoost,Top50,50,50,0.15451219227240123,0.23243707017282403,0.146198886881442,0.16282549766336046
CatBoost,FULL safe benchmark,206,206,0.16159006418415459,0.23745915042474355,0.15331015833050524,0.16986997003780394
LightGBM,Top10,10,10,0.1562147644952331,0.2344167997334305,0.14782785096466064,0.16460167802580558
LightGBM,Top15,15,15,0.15054440950182635,0.2281337591688323,0.14233740145611232,0.15875141754754044
LightGBM,Top20,20,20,0.1511903971512602,0.22865585126089122,0.14281156283627156,0.15956923146624885
LightGBM,CORE,21,21,0.1561883143779488,0.23435506513058016,0.14790249996174307,0.16447412879415454
LightGBM,SELECTED / Top30,30,30,0.15218096898286684,0.23065181016184996,0.14330812799341464,0.16105380997231905
LightGBM,Top50,50,50,0.151679505464797,0.22786365970944764,0.1436749296982131,0.15968408123138095
LightGBM,FULL safe benchmark,206,206,0.15407890012163175,0.23039454571618773,0.14481448661018673,0.16334331363307683
