comparison,MAE_before,MAE_after,ratio_after_before,absolute_improvement,relative_improvement_pct
LightGBM: ECMWF -> GFS,0.16875848159050247,0.17570625312003277,1.0411699101819918,-0.0069477715295303,-4.116991018199179
LightGBM: ECMWF -> ICON,0.16875848159050247,0.18878094373081303,1.1186456642155365,-0.02002246214031056,-11.864566421553647
LightGBM: ECMWF -> Simple,0.16875848159050247,0.15645443993445401,0.927090825064991,0.012304041656048453,7.290917493500904
LightGBM: ECMWF -> Weighted,0.16875848159050247,0.16001906117087383,0.9482134448161539,0.008739420419628635,5.178655518384612
LightGBM: Weighted -> All,0.16001906117087383,0.1574109403200297,0.9837011863976686,0.0026081208508441367,1.629881360233143
LightGBM: All -> All_Disagreement,0.1574109403200297,0.15783139614281125,1.0026710711588833,-0.00042045582278155136,-0.267107115888332
LightGBM: Full_No_Performance -> Full,0.15498846802665583,0.1565340435444727,1.0099721968833903,-0.0015455755178168662,-0.997219688339035
LightGBM__Top15__global__default -> horizon,0.15054440950182635,0.15172986733153668,1.0078744726133184,-0.001185457829710329,-0.7874472613318417
LightGBM__Top15__global__default -> turbine,0.15054440950182635,0.15057794988801593,1.0002227939669137,-3.3540386189578886e-05,-0.022279396691371467
LightGBM__Top15__global__default -> horizon_turbine,0.15054440950182635,0.1512059613876396,1.004394396895922,-0.0006615518858132385,-0.4394396895921915
