column,dtype,missing_n,missing_pct
forecast_issue_time,"datetime64[us, UTC]",0,0.0
lead_hours,int64,0,0.0
target_time,"datetime64[us, UTC]",0,0.0
archive_day,int64,0,0.0
forecast_day,int64,0,0.0
horizon_bucket,str,0,0.0
target_local_time,datetime64[us],0,0.0
archive_nominal_lead_hours,int64,0,0.0
archive_reference_time,"datetime64[us, UTC]",0,0.0
dataset_split,str,0,0.0
turbine_id,str,0,0.0
ecmwf_wind_speed_10m,float64,0,0.0
ecmwf_wind_speed_100m,float64,1831,2.8386276607289584
ecmwf_wind_direction_10m,float64,0,0.0
ecmwf_wind_direction_100m,float64,1831,2.8386276607289584
ecmwf_temperature_2m,float64,0,0.0
ecmwf_surface_pressure,float64,0,0.0
ecmwf_relative_humidity_2m,float64,1255,1.9456459389485763
ecmwf_wind_gusts_10m,float64,64503,100.0
ecmwf_api_error,bool,0,0.0
ecmwf_missing_target_hour,bool,0,0.0
ecmwf_cache_key,str,0,0.0
ecmwf_grid_latitude,float64,0,0.0
ecmwf_grid_longitude,float64,0,0.0
gfs_wind_speed_10m,float64,0,0.0
gfs_wind_speed_100m,float64,0,0.0
gfs_wind_direction_10m,float64,0,0.0
gfs_wind_direction_100m,float64,0,0.0
gfs_temperature_2m,float64,0,0.0
gfs_surface_pressure,float64,0,0.0
gfs_relative_humidity_2m,float64,0,0.0
gfs_wind_gusts_10m,float64,0,0.0
gfs_api_error,bool,0,0.0
gfs_missing_target_hour,bool,0,0.0
gfs_cache_key,str,0,0.0
gfs_grid_latitude,float64,0,0.0
gfs_grid_longitude,float64,0,0.0
icon_wind_speed_10m,float64,0,0.0
icon_wind_speed_100m,float64,11,0.01705347038122258
icon_wind_direction_10m,float64,0,0.0
icon_wind_direction_100m,float64,11,0.01705347038122258
icon_temperature_2m,float64,0,0.0
icon_surface_pressure,float64,0,0.0
icon_relative_humidity_2m,float64,0,0.0
icon_wind_gusts_10m,float64,0,0.0
icon_api_error,bool,0,0.0
icon_missing_target_hour,bool,0,0.0
icon_cache_key,str,0,0.0
icon_grid_latitude,float64,0,0.0
icon_grid_longitude,float64,0,0.0
methodology_status,str,0,0.0
weather_archive_method,str,0,0.0
weather_archive_confidence,str,0,0.0
timezone_status,str,0,0.0
scada_utc_offset_hours,int64,0,0.0
weather_configuration,str,0,0.0
ecmwf_wind_speed_10m_valid,bool,0,0.0
ecmwf_wind_speed_100m_valid,bool,0,0.0
ecmwf_wind_direction_10m_valid,bool,0,0.0
ecmwf_wind_direction_100m_valid,bool,0,0.0
ecmwf_temperature_2m_valid,bool,0,0.0
ecmwf_surface_pressure_valid,bool,0,0.0
ecmwf_relative_humidity_2m_valid,bool,0,0.0
ecmwf_wind_gusts_10m_valid,bool,0,0.0
ecmwf_available,bool,0,0.0
ecmwf_missing_values_count,int8,0,0.0
ecmwf_impossible_values_count,int8,0,0.0
ecmwf_partial_coverage,bool,0,0.0
ecmwf_quality_ok,bool,0,0.0
ecmwf_duplicate_forecast,bool,0,0.0
ecmwf_timestamps_consistent,bool,0,0.0
ecmwf_run_time,"datetime64[ns, UTC]",64503,100.0
ecmwf_estimated_availability_time,"datetime64[ns, UTC]",64503,100.0
ecmwf_stale_run,boolean,64503,100.0
gfs_wind_speed_10m_valid,bool,0,0.0
gfs_wind_speed_100m_valid,bool,0,0.0
gfs_wind_direction_10m_valid,bool,0,0.0
gfs_wind_direction_100m_valid,bool,0,0.0
gfs_temperature_2m_valid,bool,0,0.0
gfs_surface_pressure_valid,bool,0,0.0
gfs_relative_humidity_2m_valid,bool,0,0.0
gfs_wind_gusts_10m_valid,bool,0,0.0
gfs_available,bool,0,0.0
gfs_missing_values_count,int8,0,0.0
gfs_impossible_values_count,int8,0,0.0
gfs_partial_coverage,bool,0,0.0
gfs_quality_ok,bool,0,0.0
gfs_duplicate_forecast,bool,0,0.0
gfs_timestamps_consistent,bool,0,0.0
gfs_run_time,"datetime64[ns, UTC]",64503,100.0
gfs_estimated_availability_time,"datetime64[ns, UTC]",64503,100.0
gfs_stale_run,boolean,64503,100.0
icon_wind_speed_10m_valid,bool,0,0.0
