feature,all_missing_pct,training_missing_pct,competition_missing_pct
turbine_id,0.0,0.0,0.0
lead_hours,0.0,0.0,0.0
horizon_bucket,0.0,0.0,0.0
archive_nominal_lead_hours,0.0,0.0,0.0
target_hour,0.0,0.0,0.0
target_day_of_week,0.0,0.0,0.0
target_month,0.0,0.0,0.0
target_day_of_year,0.0,0.0,0.0
hour_sin,0.0,0.0,0.0
hour_cos,0.0,0.0,0.0
day_of_year_sin,0.0,0.0,0.0
day_of_year_cos,0.0,0.0,0.0
weather_models_available_count,0.0,0.0,0.0
weather_models_usable_count,0.0,0.0,0.0
weather_data_quality_score,0.0,0.0,0.0
weather_critical_missing,0.0,0.0,0.0
best_weather_model_recent,0.0,0.0,0.0
wind_weights_cold_start,0.0,0.0,0.0
temperature_weights_cold_start,0.0,0.0,0.0
ecmwf_wind_speed_10m,30.451964395334564,0.0,0.0
ecmwf_wind_speed_10m_valid,0.0,0.0,0.0
ecmwf_wind_speed_100m,33.37553713934929,2.8386276607289584,0.0
ecmwf_wind_speed_100m_valid,0.0,0.0,0.0
ecmwf_wind_direction_10m,30.451964395334564,0.0,0.0
ecmwf_wind_direction_10m_valid,0.0,0.0,0.0
ecmwf_wind_direction_100m,33.37553713934929,2.8386276607289584,0.0
ecmwf_wind_direction_100m_valid,0.0,0.0,0.0
ecmwf_temperature_2m,30.451964395334564,0.0,0.0
ecmwf_temperature_2m_valid,0.0,0.0,0.0
ecmwf_surface_pressure,30.451964395334564,0.0,0.0
ecmwf_surface_pressure_valid,0.0,0.0,0.0
ecmwf_relative_humidity_2m,32.82305095150399,1.9456459389485763,0.0
ecmwf_relative_humidity_2m_valid,0.0,0.0,0.0
ecmwf_wind_gusts_10m,100.0,100.0,100.0
ecmwf_wind_gusts_10m_valid,0.0,0.0,0.0
ecmwf_available,0.0,0.0,0.0
ecmwf_quality_ok,0.0,0.0,0.0
ecmwf_missing_values_count,0.0,0.0,0.0
ecmwf_impossible_values_count,0.0,0.0,0.0
ecmwf_partial_coverage,0.0,0.0,0.0
ecmwf_api_error,0.0,0.0,0.0
ecmwf_missing_target_hour,0.0,0.0,0.0
ecmwf_weight,0.0,0.0,0.0
ecmwf_temperature_weight,0.0,0.0,0.0
ecmwf_wind_mae_7d,38.02946593001841,3.3688355580360603,73.06547619047619
ecmwf_wind_mae_30d,35.086709637814614,3.3688355580360603,0.0
ecmwf_wind_mae_90d,33.6134131368938,3.2231059020510675,0.0
ecmwf_wind_rmse_7d,38.02946593001841,3.3688355580360603,73.06547619047619
