experiment_id,fold,n,MAE,RMSE,nMAE,nMAE_pct,Bias,R2
HistoricalMean__Baseline__global__default,2025-10,2748,0.30388411596726883,0.3385480828427699,0.30388411596726883,30.388411596726883,0.07002816478012379,-0.02504061205720598
HistoricalMean__Baseline__global__default,2025-11,2880,0.3307973482689512,0.3749707659311765,0.3307973482689512,33.07973482689512,-0.039698327085509175,0.0026060223882040656
HistoricalMean__Baseline__global__default,2025-12,2948,0.3382653214867387,0.38471580468392585,0.3382653214867387,33.82653214867387,-0.07632641586144231,-0.019446404151581387
HistoricalMean__Baseline__global__default,2026-01,2976,0.29964471472082665,0.3400594637191603,0.29964471472082665,29.964471472082664,0.050892486241792496,-0.015409827021731326
HistoricalMedian__Baseline__global__default,2025-10,2748,0.26374150897622517,0.3373805511901435,0.26374150897622517,26.374150897622517,-0.06550157690441533,-0.017982803678724624
HistoricalMedian__Baseline__global__default,2025-11,2880,0.3256886574074074,0.4145177886490295,0.3256886574074074,32.56886574074074,-0.17729976851851853,-0.21887246738973865
HistoricalMedian__Baseline__global__default,2025-12,2948,0.3426317277250113,0.4308793078051182,0.3426317277250113,34.263172772501136,-0.21269730890999544,-0.2787793626455979
HistoricalMedian__Baseline__global__default,2026-01,2976,0.2697272625448029,0.34597566178294525,0.2697272625448029,26.97272625448029,-0.08543850806451612,-0.05104843138757342
Persistence__Baseline__global__default,2025-10,2748,0.3217030567685589,0.3525890957404439,0.3217030567685589,32.17030567685589,0.1043777292576419,-0.11182928523163382
Persistence__Baseline__global__default,2025-11,2880,0.3359519675925926,0.4022496693462874,0.3359519675925926,33.59519675925926,-0.10810706018518515,-0.1477923169122135
Persistence__Baseline__global__default,2025-12,2948,0.4279517186793306,0.5716785332304778,0.4279517186793306,42.79517186793306,-0.42433457711442785,-1.2510653925134747
Persistence__Baseline__global__default,2026-01,2976,0.30820844534050174,0.45692279795063523,0.30820844534050174,30.820844534050174,-0.28893985215053763,-0.8332313943525489
CatBoost__CORE__global__default,2025-10,2748,0.14318381339835964,0.2148777035018031,0.14318381339835964,14.318381339835964,-0.010343017097630608,0.587063699534887
CatBoost__CORE__global__default,2025-11,2880,0.1313913004411064,0.19982926331733178,0.1313913004411064,13.139130044110638,0.0010797158283869094,0.7167368395174452
CatBoost__CORE__global__default,2025-12,2948,0.17394348180106858,0.2590999476952576,0.17394348180106858,17.39434818010686,0.026437586582113804,0.5375987571407173
