dataset_split,turbine_id,horizon_bucket,lead_hours,rows
competition_test,turbine_1,D1,1,28
competition_test,turbine_1,D1,2,28
competition_test,turbine_1,D1,3,28
competition_test,turbine_1,D1,4,28
competition_test,turbine_1,D1,5,28
competition_test,turbine_1,D1,6,28
competition_test,turbine_1,D1,7,28
competition_test,turbine_1,D1,8,28
competition_test,turbine_1,D1,9,28
competition_test,turbine_1,D1,10,28
competition_test,turbine_1,D1,11,28
competition_test,turbine_1,D1,12,28
competition_test,turbine_1,D1,13,28
competition_test,turbine_1,D1,14,28
competition_test,turbine_1,D1,15,28
competition_test,turbine_1,D1,16,28
competition_test,turbine_1,D1,17,28
competition_test,turbine_1,D1,18,28
competition_test,turbine_1,D1,19,28
competition_test,turbine_1,D1,20,28
competition_test,turbine_1,D1,21,28
competition_test,turbine_1,D1,22,28
competition_test,turbine_1,D1,23,28
competition_test,turbine_1,D1,24,28
competition_test,turbine_1,D2,25,28
competition_test,turbine_1,D2,26,28
competition_test,turbine_1,D2,27,28
competition_test,turbine_1,D2,28,28
competition_test,turbine_1,D2,29,28
competition_test,turbine_1,D2,30,28
competition_test,turbine_1,D2,31,28
competition_test,turbine_1,D2,32,28
competition_test,turbine_1,D2,33,28
competition_test,turbine_1,D2,34,28
competition_test,turbine_1,D2,35,28
competition_test,turbine_1,D2,36,28
competition_test,turbine_1,D2,37,28
competition_test,turbine_1,D2,38,28
competition_test,turbine_1,D2,39,28
competition_test,turbine_1,D2,40,28
competition_test,turbine_1,D2,41,28
competition_test,turbine_1,D2,42,28
competition_test,turbine_1,D2,43,28
competition_test,turbine_1,D2,44,28
competition_test,turbine_1,D2,45,28
competition_test,turbine_1,D2,46,28
competition_test,turbine_1,D2,47,28
competition_test,turbine_1,D2,48,28
competition_test,turbine_2,D1,1,28
competition_test,turbine_2,D1,2,28
competition_test,turbine_2,D1,3,28
competition_test,turbine_2,D1,4,28
competition_test,turbine_2,D1,5,28
competition_test,turbine_2,D1,6,28
competition_test,turbine_2,D1,7,28
competition_test,turbine_2,D1,8,28
competition_test,turbine_2,D1,9,28
competition_test,turbine_2,D1,10,28
competition_test,turbine_2,D1,11,28
competition_test,turbine_2,D1,12,28
competition_test,turbine_2,D1,13,28
competition_test,turbine_2,D1,14,28
competition_test,turbine_2,D1,15,28
competition_test,turbine_2,D1,16,28
competition_test,turbine_2,D1,17,28
competition_test,turbine_2,D1,18,28
competition_test,turbine_2,D1,19,28
competition_test,turbine_2,D1,20,28
competition_test,turbine_2,D1,21,28
competition_test,turbine_2,D1,22,28
competition_test,turbine_2,D1,23,28
competition_test,turbine_2,D1,24,28
competition_test,turbine_2,D2,25,28
competition_test,turbine_2,D2,26,28
competition_test,turbine_2,D2,27,28
competition_test,turbine_2,D2,28,28
competition_test,turbine_2,D2,29,28
competition_test,turbine_2,D2,30,28
competition_test,turbine_2,D2,31,28
competition_test,turbine_2,D2,32,28
competition_test,turbine_2,D2,33,28
competition_test,turbine_2,D2,34,28
competition_test,turbine_2,D2,35,28
competition_test,turbine_2,D2,36,28
competition_test,turbine_2,D2,37,28
competition_test,turbine_2,D2,38,28
competition_test,turbine_2,D2,39,28
competition_test,turbine_2,D2,40,28
competition_test,turbine_2,D2,41,28
competition_test,turbine_2,D2,42,28
competition_test,turbine_2,D2,43,28
competition_test,turbine_2,D2,44,28
competition_test,turbine_2,D2,45,28
competition_test,turbine_2,D2,46,28
competition_test,turbine_2,D2,47,28
competition_test,turbine_2,D2,48,28
train,turbine_1,D1,1,1058
train,turbine_1,D1,2,1058
train,turbine_1,D1,3,1058
train,turbine_1,D1,4,1058
train,turbine_1,D1,5,1058
train,turbine_1,D1,6,1058
train,turbine_1,D1,7,1058
train,turbine_1,D1,8,1058
train,turbine_1,D1,9,1058
train,turbine_1,D1,10,1058
train,turbine_1,D1,11,1058
train,turbine_1,D1,12,1058
train,turbine_1,D1,13,1058
train,turbine_1,D1,14,1058
train,turbine_1,D1,15,1058
train,turbine_1,D1,16,1058
train,turbine_1,D1,17,1058
train,turbine_1,D1,18,1058
train,turbine_1,D1,19,1058
train,turbine_1,D1,20,1058
train,turbine_1,D1,21,1058
train,turbine_1,D1,22,1058
train,turbine_1,D1,23,1058
train,turbine_1,D1,24,1058
train,turbine_1,D2,25,1058
train,turbine_1,D2,26,1058
train,turbine_1,D2,27,1058
train,turbine_1,D2,28,1058
train,turbine_1,D2,29,1058
train,turbine_1,D2,30,1058
train,turbine_1,D2,31,1058
train,turbine_1,D2,32,1058
train,turbine_1,D2,33,1058
train,turbine_1,D2,34,1058
train,turbine_1,D2,35,1058
train,turbine_1,D2,36,1058
train,turbine_1,D2,37,1058
train,turbine_1,D2,38,1058
train,turbine_1,D2,39,1058
train,turbine_1,D2,40,1058
train,turbine_1,D2,41,1058
train,turbine_1,D2,42,1058
train,turbine_1,D2,43,1058
train,turbine_1,D2,44,1058
train,turbine_1,D2,45,1058
train,turbine_1,D2,46,1058
train,turbine_1,D2,47,1058
train,turbine_1,D2,48,1058
train,turbine_2,D1,1,1058
train,turbine_2,D1,2,1058
train,turbine_2,D1,3,1058
train,turbine_2,D1,4,1058
train,turbine_2,D1,5,1058
train,turbine_2,D1,6,1058
train,turbine_2,D1,7,1058
train,turbine_2,D1,8,1058
train,turbine_2,D1,9,1058
train,turbine_2,D1,10,1058
