offset_hours,correlation,MAE,RMSE,samples
5,0.7005898217361893,2.309702336673522,2.9814913828656286,91412
6,0.6939517991915471,2.3300192899546377,3.011032037081169,91412
4,0.6751169513351234,2.4117137429075686,3.099681949477127,91412
3,0.6242671011607733,2.5984580799019823,3.3213910162596645,91412
2,0.5584711252054279,2.8177261920389736,3.587420193913435,91412
1,0.48789065372442453,3.0362639113756034,3.8525391206148916,91412
0,0.4198410080500639,3.2343575606411994,4.092108524638627,91412
-1,0.35681281008288507,3.410994253125046,4.301939436436408,91412
-2,0.3015592236326253,3.5601877579894685,4.478195203432681,91412
-3,0.25337242262355936,3.688292383202789,4.626236347064944,91412
-4,0.2115027012734154,3.7935518677343603,4.750676081529777,91412
-5,0.17690896370918596,3.8771891728292416,4.8507556129887215,91412
-6,0.1494550898520869,3.945649987601919,4.928742506871818,91412
