turbine_id,model,period,offset_hours,samples,correlation,MAE,RMSE
turbine_1,ecmwf,all,-6,14287,0.15894802081279352,3.901385058678052,4.848105210740711
turbine_1,ecmwf,all,-5,14287,0.185725358073263,3.8380283941111966,4.771002556175324
turbine_1,ecmwf,all,-4,14287,0.21979019293744267,3.7531029374023004,4.6712597874445505
turbine_1,ecmwf,all,-3,14287,0.2622870458473571,3.6477141223956515,4.544035823183621
turbine_1,ecmwf,all,-2,14287,0.31246658860243637,3.5166730827558847,4.388938325542641
turbine_1,ecmwf,all,-1,14287,0.3698475569162972,3.361364993817223,4.2044391382784845
turbine_1,ecmwf,all,0,14287,0.43458751808599627,3.1757960616877816,3.9866634285544684
turbine_1,ecmwf,all,1,14287,0.506431001592838,2.959600452625931,3.730449904837084
turbine_1,ecmwf,all,2,14287,0.58228590023463,2.7130628076806422,3.4396400396639053
turbine_1,ecmwf,all,3,14287,0.6534165940235478,2.4621631553160217,3.1428428444239733
turbine_1,ecmwf,all,4,14287,0.7080436051880599,2.2498848603625676,2.894135249584489
turbine_1,ecmwf,all,5,14287,0.7349463627609988,2.127476610438394,2.762861644837559
turbine_1,ecmwf,all,6,14287,0.7284737940978078,2.155656540911318,2.7939655525198503
turbine_1,ecmwf,2024,-6,5704,0.15090992864401248,4.0439542426367465,5.05412558787973
turbine_1,ecmwf,2024,-5,5704,0.18607853011019024,3.9682664212248717,4.950814441207871
turbine_1,ecmwf,2024,-4,5704,0.22779919974687804,3.8652182678821876,4.824958642658211
turbine_1,ecmwf,2024,-3,5704,0.2781102334735826,3.7364939808321647,4.668220188170385
turbine_1,ecmwf,2024,-2,5704,0.3362480180400218,3.5848880902290787,4.4801784404210805
turbine_1,ecmwf,2024,-1,5704,0.4008383839999646,3.3991751402524546,4.262193012299672
turbine_1,ecmwf,2024,0,5704,0.47099432331425245,3.1850750935016365,4.013512497949595
turbine_1,ecmwf,2024,1,5704,0.5458906426969243,2.951786757830762,3.731212914911938
turbine_1,ecmwf,2024,2,5704,0.6228320181984647,2.6917078658251516,3.41716263112274
turbine_1,ecmwf,2024,3,5704,0.6932394788249056,2.432171867695185,3.1016641440903463
turbine_1,ecmwf,2024,4,5704,0.7441475614861464,2.221007187938289,2.851518581364183
turbine_1,ecmwf,2024,5,5704,0.7646133592892826,2.1151124941561474,2.7438504210584136
turbine_1,ecmwf,2024,6,5704,0.7500478291024505,2.175243980832165,2.8194255556592505
turbine_1,ecmwf,2025,-6,8583,0.1603469327988923,3.806637927686512,4.706204585967489
turbine_1,ecmwf,2025,-5,8583,0.18110093118753856,3.751476173831993,4.647658832286592
turbine_1,ecmwf,2025,-4,8583,0.20975298004734358,3.6785945085246023,4.566255614842202
turbine_1,ecmwf,2025,-3,8583,0.24678691389325239,3.5887137364557846,4.459594374643893
turbine_1,ecmwf,2025,-2,8583,0.291460590764824,3.471339469493961,4.327238981887181
turbine_1,ecmwf,2025,-1,8583,0.34394817729272864,3.3362375237873314,4.1656148091709895
turbine_1,ecmwf,2025,0,8583,0.4051788607343908,3.1696295001747643,3.968719890969906
turbine_1,ecmwf,2025,1,8583,0.4753153107246009,2.964793195852266,3.7299427452830036
turbine_1,ecmwf,2025,2,8583,0.5509605607087651,2.7272546506660453,3.454496946029741
turbine_1,ecmwf,2025,3,8583,0.6231980780071941,2.4820944502699134,3.1699130900809593
turbine_1,ecmwf,2025,4,8583,0.6810336131103351,2.2690760806244903,2.9221132326060353
turbine_1,ecmwf,2025,5,8583,0.7129558771879254,2.1356934249873785,2.775423896912397
turbine_1,ecmwf,2025,6,8583,0.7124773925675041,2.14263932579906,2.7769165020742483
turbine_1,gfs,all,-6,14753,0.1558877898582457,4.160097381323573,5.184448902655437
turbine_1,gfs,all,-5,14753,0.18185264290300537,4.092266431686211,5.1076293121492915
turbine_1,gfs,all,-4,14753,0.2138042618493178,4.01057299080413,5.011805263887761
turbine_1,gfs,all,-3,14753,0.25326193718545864,3.9038396710273617,4.890245316073251
turbine_1,gfs,all,-2,14753,0.29771692745851963,3.7774120517860776,4.749267082144749
turbine_1,gfs,all,-1,14753,0.35025592781544357,3.6306615603606045,4.577180231961543
turbine_1,gfs,all,0,14753,0.410733862753275,3.4606053006168236,4.37095352912383
turbine_1,gfs,all,1,14753,0.47480407796192825,3.2753211776135926,4.142364057272004
turbine_1,gfs,all,2,14753,0.5411838441867041,3.0680525994712937,3.890911998014809
turbine_1,gfs,all,3,14753,0.6039196796813135,2.8561275672744526,3.6380242119722586
turbine_1,gfs,all,4,14753,0.6537960139365657,2.6678429246029056,3.423590662439422
turbine_1,gfs,all,5,14753,0.6809222941549452,2.565152624324996,3.2998079511795004
turbine_1,gfs,all,6,14753,0.6768673632534153,2.576646557762263,3.3154805566068193
turbine_1,gfs,2024,-6,6170,0.16334591481104077,4.164710426796326,5.260439964714576
turbine_1,gfs,2024,-5,6170,0.1937136897888722,4.083092922744463,5.169028483894722
turbine_1,gfs,2024,-4,6170,0.2319457306004641,3.9876218260399785,5.051569852438752
turbine_1,gfs,2024,-3,6170,0.2789442759424956,3.8728098325229605,4.902009348318245
turbine_1,gfs,2024,-2,6170,0.3304135484491612,3.7253344138303617,4.732381561731162
turbine_1,gfs,2024,-1,6170,0.3874186933098137,3.5571226364127497,4.537635184014805
turbine_1,gfs,2024,0,6170,0.45194978104261735,3.373238789843328,4.307154234677067
turbine_1,gfs,2024,1,6170,0.5174108670824727,3.1742150189086984,4.060860663047841
turbine_1,gfs,2024,2,6170,0.5823711521865805,2.97222906537007,3.800581577094367
turbine_1,gfs,2024,3,6170,0.6413538750893423,2.772555375472717,3.5492539898388253
turbine_1,gfs,2024,4,6170,0.6872138101358681,2.599083738519719,3.341606923942986
turbine_1,gfs,2024,5,6170,0.7102664659843948,2.507841166936791,3.232406241184685
turbine_1,gfs,2024,6,6170,0.6974379154532032,2.546992976769314,3.2932278226940808
turbine_1,gfs,2025,-6,8583,0.14826781894725152,4.156781234222689,5.129126230031211
turbine_1,gfs,2025,-5,8583,0.1709151447030953,4.0988609266379274,5.0630317336744275
turbine_1,gfs,2025,-4,8583,0.19813857580198724,4.027071730941008,4.983023935865279
turbine_1,gfs,2025,-3,8583,0.23191490010318905,3.9261458697425144,4.881771075860373
turbine_1,gfs,2025,-2,8583,0.27110083190149936,3.8148487319895916,4.761368459960429
turbine_1,gfs,2025,-1,8583,0.32034282473520875,3.683525962173288,4.605397918385137
turbine_1,gfs,2025,0,8583,0.3778565852375998,3.52340984115888,4.416247085764547
turbine_1,gfs,2025,1,8583,0.44102352552508145,3.3480026408792574,4.199976783438597
turbine_1,gfs,2025,2,8583,0.5086628693863047,3.136936580061361,3.9545726366204215
turbine_1,gfs,2025,3,8583,0.5744359359906586,2.916204512796613,3.700522447150667
turbine_1,gfs,2025,4,8583,0.6275174586405867,2.7172713503437027,3.48133313348397
turbine_1,gfs,2025,5,8583,0.6578416693110574,2.606351702978756,3.347422170629447
turbine_1,gfs,2025,6,8583,0.6605704987541611,2.5979634160549923,3.3313853889223455
turbine_1,icon,all,-6,14749,0.14503322468004157,3.755906163129704,4.734292068212243
turbine_1,icon,all,-5,14749,0.17596764873586007,3.677051551517617,4.6498647074469455
